customer_id,segment,recency_days,frequency,monetary_value,support_ticket_count,return_rate,category_diversity,discount_usage_rate,engagement_score,churn_label,tenure_days,plan_type
C00884,At-Risk,260,2,141.84,0,0.0,2.0,0.5,100.0,0,462,Premium
C03438,At-Risk,79,2,217.61,0,0.0,2.0,0.5,100.0,0,188,Basic
C04530,At-Risk,590,4,475.22999999999996,0,0.0,2.0,0.0,100.0,0,695,Premium
C00881,At-Risk,478,3,304.38,1,0.0,3.0,0.0,95.0,1,727,Trial
C01477,At-Risk,421,2,320.61,1,0.0,2.0,0.0,80.0,1,867,Basic
C02595,At-Risk,511,7,587.42,1,0.0,5.0,0.42857142857142855,80.0,0,624,Basic
C01335,At-Risk,673,1,132.59,0,0.0,1.0,0.0,100.0,1,753,Basic
C03435,At-Risk,631,3,245.89,1,0.0,3.0,0.0,95.0,1,769,Basic
C04539,At-Risk,575,1,79.39,1,0.0,1.0,0.0,80.0,1,639,Trial
C02600,At-Risk,598,2,179.81,0,0.0,2.0,0.0,100.0,0,722,Premium
C04051,At-Risk,633,2,238.74,2,0.0,2.0,0.5,90.0,0,791,Basic
C04542,At-Risk,617,3,399.49,0,0.0,3.0,0.0,100.0,0,688,Premium
C03437,At-Risk,624,3,275.21000000000004,1,0.0,3.0,0.0,95.0,0,864,Basic
C00752,At-Risk,588,1,65.36,1,0.0,1.0,0.0,95.0,1,653,Premium
C01674,At-Risk,281,2,96.36,0,0.0,2.0,0.0,100.0,1,335,Basic
C00750,At-Risk,550,1,209.03,1,0.0,1.0,0.0,80.0,1,615,Trial
C02766,At-Risk,256,1,109.99,2,0.0,1.0,0.0,90.0,1,281,Trial
C01723,At-Risk,85,1,140.59,2,0.0,1.0,0.0,80.0,1,145,Premium
C03335,At-Risk,150,1,59.33,0,0.0,1.0,0.0,100.0,1,352,Trial
C03336,At-Risk,311,1,63.55,1,0.0,1.0,0.0,95.0,1,375,Basic
C02761,At-Risk,637,5,389.22,0,0.0,2.0,0.4,100.0,0,794,Premium
C04686,At-Risk,463,4,337.16,0,0.0,3.0,0.0,100.0,1,546,Basic
C03338,At-Risk,23,1,316.8,1,0.0,1.0,0.0,95.0,1,284,Basic
C00623,At-Risk,540,4,500.12,0,0.0,3.0,0.0,100.0,0,653,Trial
C01720,At-Risk,556,5,277.0,1,0.2,2.0,0.0,95.0,0,633,Basic
C00627,At-Risk,561,4,331.1,0,0.0,3.0,0.25,100.0,0,699,Basic
C03768,At-Risk,247,2,159.49,2,0.0,2.0,0.0,90.0,1,627,Basic
C03767,At-Risk,305,2,108.68,1,0.5,1.0,0.0,95.0,1,561,Trial
C01717,At-Risk,561,4,358.84,1,0.0,4.0,0.0,95.0,0,607,Basic
C00632,At-Risk,486,4,363.09000000000003,0,0.0,3.0,0.25,100.0,0,539,Basic
C02752,At-Risk,338,2,314.9,2,0.0,1.0,0.5,90.0,1,515,Premium
C00638,At-Risk,661,3,359.5,0,0.0,3.0,0.3333333333333333,100.0,0,830,Basic
C04199,At-Risk,331,2,551.2,0,0.0,2.0,0.5,100.0,0,357,Basic
C02734,At-Risk,630,3,368.97,0,0.0,2.0,0.3333333333333333,100.0,0,908,Basic
C04201,At-Risk,647,1,106.96,0,0.0,1.0,0.0,100.0,1,647,Basic
C04659,At-Risk,258,2,143.94,1,0.0,2.0,0.5,80.0,1,272,Premium
C02051,At-Risk,289,1,107.82,1,0.0,1.0,0.0,95.0,1,356,Basic
C03348,At-Risk,121,1,37.26,2,0.0,1.0,0.0,80.0,1,164,Basic
C04662,At-Risk,662,2,194.32,0,0.0,2.0,0.0,100.0,0,782,Premium
C01724,At-Risk,146,2,178.54,0,0.0,2.0,0.0,100.0,0,214,Basic
C03761,At-Risk,642,2,363.74,2,0.0,2.0,0.5,90.0,1,661,Basic
C00648,At-Risk,462,2,91.27000000000001,0,0.0,2.0,0.0,100.0,0,480,Premium
C01291,At-Risk,593,4,294.84000000000003,1,0.0,3.0,0.5,80.0,0,720,Premium
C01713,At-Risk,671,5,526.14,0,0.0,3.0,0.2,100.0,0,783,Premium
C02745,At-Risk,446,2,196.23,1,0.0,2.0,0.5,95.0,0,603,Premium
C00642,At-Risk,0,2,240.8,0,0.0,2.0,0.5,100.0,1,257,Basic
C03763,At-Risk,53,2,140.10000000000002,2,0.0,2.0,0.5,90.0,1,213,Basic
C02741,At-Risk,243,2,417.76,2,0.0,2.0,0.0,80.0,0,269,Basic
C02053,At-Risk,247,1,84.18,1,0.0,1.0,0.0,95.0,0,315,Basic
C02768,At-Risk,597,3,408.33,0,0.0,2.0,0.0,100.0,0,768,Basic
C01367,At-Risk,366,1,176.15,2,0.0,1.0,0.0,90.0,1,390,Basic
C02800,At-Risk,486,5,432.57,0,0.0,4.0,0.4,100.0,0,582,Basic
C04714,At-Risk,573,3,357.83,0,0.0,3.0,0.0,100.0,0,592,Basic
C04713,At-Risk,242,2,115.57,0,0.0,2.0,0.0,100.0,0,290,Basic
C02798,At-Risk,609,5,477.36,0,0.0,2.0,0.2,100.0,0,695,Basic
C00567,At-Risk,351,2,249.79000000000002,0,0.0,2.0,0.0,100.0,0,479,Basic
C04710,At-Risk,132,2,152.29000000000002,0,0.0,1.0,0.5,100.0,0,180,Premium
C00570,At-Risk,93,2,374.58,1,0.0,2.0,0.5,95.0,0,134,Basic
C00571,At-Risk,102,2,281.33000000000004,1,0.0,2.0,0.5,95.0,1,261,Basic
C02270,At-Risk,415,1,60.69,2,0.0,1.0,0.0,80.0,1,436,Basic
C02795,At-Risk,531,5,769.03,2,0.0,3.0,0.0,80.0,0,657,Basic
C02794,At-Risk,525,1,116.8,1,0.0,1.0,0.0,95.0,1,611,Trial
C04195,At-Risk,471,2,106.82,2,0.0,2.0,0.0,80.0,1,623,Trial
C00577,At-Risk,334,2,114.44,0,0.0,2.0,0.0,100.0,0,424,Premium
C00579,At-Risk,341,2,398.15999999999997,0,0.0,2.0,0.5,100.0,0,450,Basic
C03323,At-Risk,394,2,114.49000000000001,1,0.0,2.0,0.0,95.0,0,413,Premium
C00584,At-Risk,530,1,139.61,1,0.0,1.0,0.0,95.0,1,766,Premium
C04703,At-Risk,45,1,101.12,2,0.0,1.0,0.0,90.0,0,141,Basic
C01727,At-Risk,277,1,85.42,2,0.0,1.0,0.0,80.0,1,318,Basic
C02772,At-Risk,469,4,388.56,0,0.0,4.0,0.0,100.0,0,515,Trial
C04690,At-Risk,613,4,309.39,0,0.0,1.0,0.5,100.0,0,669,Basic
C04691,At-Risk,618,1,129.7,1,0.0,1.0,0.0,95.0,1,711,Trial
C01460,At-Risk,615,4,289.07,0,0.0,4.0,0.0,100.0,0,642,Basic
C02779,At-Risk,501,2,201.57,1,0.0,2.0,0.0,95.0,0,664,Basic
C02040,At-Risk,680,2,108.66,2,0.0,2.0,0.5,90.0,1,778,Basic
C01372,At-Risk,0,1,171.41,2,0.0,1.0,0.0,80.0,1,123,Basic
C03980,At-Risk,634,3,196.07999999999998,0,0.0,2.0,0.3333333333333333,100.0,0,709,Basic
C04699,At-Risk,505,9,902.29,2,0.1111111111111111,3.0,0.3333333333333333,90.0,0,571,Basic
C01734,At-Risk,597,4,477.2,2,0.0,4.0,0.5,80.0,0,718,Premium
C03978,At-Risk,126,1,72.02,0,0.0,1.0,0.0,100.0,0,160,Basic
C03771,At-Risk,636,4,383.0,0,0.0,3.0,0.25,100.0,0,684,Basic
C01373,At-Risk,186,2,158.37,0,0.0,2.0,0.0,100.0,0,303,Basic
C04697,At-Risk,0,1,193.99,0,0.0,1.0,0.0,100.0,1,142,Basic
C04498,At-Risk,58,1,46.81,1,0.0,1.0,0.0,95.0,0,129,Premium
C04656,At-Risk,460,3,371.94,0,0.0,3.0,0.3333333333333333,100.0,0,567,Premium
C01706,At-Risk,453,1,229.79,2,0.0,1.0,0.0,90.0,1,488,Basic
C02066,At-Risk,567,1,44.89,0,0.0,1.0,0.0,100.0,0,625,Basic
C02067,At-Risk,479,1,131.36,1,0.0,1.0,0.0,95.0,1,507,Basic
C00717,At-Risk,131,2,254.32,2,0.0,2.0,0.5,80.0,0,246,Premium
C04624,At-Risk,587,2,191.3,0,0.0,2.0,0.0,100.0,0,753,Premium
C00719,At-Risk,272,1,99.1,1,0.0,1.0,0.0,95.0,1,358,Basic
C04150,At-Risk,560,1,99.91,2,0.0,1.0,0.0,80.0,1,663,Basic
C02696,At-Risk,220,1,228.54,0,0.0,1.0,0.0,100.0,1,344,Premium
C00722,At-Risk,449,4,348.0,0,0.0,3.0,0.5,100.0,0,471,Basic
C00723,At-Risk,284,1,46.48,1,0.0,1.0,0.0,95.0,1,538,Basic
C04618,At-Risk,638,2,322.88,1,0.0,2.0,0.5,80.0,0,699,Premium
C02695,At-Risk,663,4,488.79,0,0.0,3.0,0.5,100.0,0,837,Premium
C00727,At-Risk,545,2,173.05,0,0.0,2.0,0.5,100.0,0,563,Trial
C03753,At-Risk,366,2,113.17,1,0.0,2.0,0.5,95.0,0,419,Premium
C02693,At-Risk,79,1,163.64,0,0.0,1.0,0.0,100.0,0,135,Basic
C04615,At-Risk,447,2,172.04000000000002,0,0.0,2.0,0.5,100.0,0,489,Premium
C02691,At-Risk,606,4,350.1,0,0.0,3.0,0.25,100.0,0,717,Basic
C02690,At-Risk,0,1,132.05,1,0.0,1.0,0.0,80.0,1,178,Basic
C02678,At-Risk,23,2,240.36,1,0.0,2.0,0.0,95.0,0,146,Trial
C04012,At-Risk,29,1,103.11,1,0.0,1.0,0.0,95.0,1,164,Basic
C00746,At-Risk,486,4,298.89,1,0.25,3.0,0.5,80.0,0,664,Premium
C04011,At-Risk,364,1,83.04,0,0.0,1.0,0.0,100.0,1,487,Premium
C00744,At-Risk,507,4,376.15,1,0.0,3.0,0.25,80.0,0,682,Basic
C00743,At-Risk,475,1,81.06,2,0.0,1.0,0.0,80.0,1,529,Basic
C03374,At-Risk,150,2,154.79,2,0.0,2.0,0.0,90.0,1,184,Trial
C01678,At-Risk,262,2,281.32,0,0.0,2.0,0.0,100.0,1,461,Trial
C03752,At-Risk,357,2,93.16,0,0.0,2.0,0.5,100.0,0,378,Basic
C04610,At-Risk,170,1,223.28,2,0.0,1.0,0.0,90.0,1,180,Premium
C01680,At-Risk,606,3,341.64,0,0.0,3.0,0.0,100.0,0,648,Premium
C04613,At-Risk,634,1,92.57,0,0.0,1.0,0.0,100.0,1,755,Trial
C01681,At-Risk,603,1,83.79,2,0.0,1.0,0.0,90.0,1,612,Basic
C02205,At-Risk,498,4,373.45,1,0.0,3.0,0.25,95.0,0,537,Basic
C03384,At-Risk,632,1,111.11,0,0.0,1.0,0.0,100.0,1,825,Trial
C02731,At-Risk,519,2,534.03,1,0.0,2.0,0.0,80.0,0,631,Basic
C03680,At-Risk,293,1,131.95,1,0.0,1.0,0.0,95.0,1,330,Trial
C02281,At-Risk,561,4,195.07,1,0.0,3.0,0.5,95.0,0,785,Premium
C04652,At-Risk,542,6,555.21,2,0.0,4.0,0.5,90.0,0,578,Premium
C01361,At-Risk,639,1,84.86,1,0.0,1.0,0.0,95.0,1,707,Basic
C02277,At-Risk,481,1,54.11,2,0.0,1.0,0.0,80.0,1,638,Basic
C00673,At-Risk,0,1,105.52,1,0.0,1.0,0.0,95.0,1,202,Basic
C03999,At-Risk,13,2,160.51999999999998,1,0.0,2.0,0.5,80.0,0,125,Basic
C02724,At-Risk,661,3,124.80000000000001,0,0.0,3.0,0.3333333333333333,100.0,0,792,Premium
C00676,At-Risk,566,3,375.40999999999997,1,0.0,2.0,0.3333333333333333,95.0,1,595,Basic
C00677,At-Risk,663,4,334.53,0,0.0,2.0,0.25,100.0,0,743,Basic
C02278,At-Risk,505,3,348.36,2,0.0,3.0,0.3333333333333333,80.0,1,605,Basic
C00679,At-Risk,468,5,640.24,1,0.0,3.0,0.0,80.0,0,632,Trial
C04208,At-Risk,628,3,245.97,1,0.0,2.0,0.3333333333333333,95.0,1,813,Premium
C02721,At-Risk,353,2,230.66,1,0.0,2.0,0.5,80.0,0,366,Basic
C01699,At-Risk,127,2,209.18,0,0.0,2.0,0.0,100.0,0,136,Premium
C04643,At-Risk,13,2,142.2,2,0.0,1.0,0.5,90.0,1,157,Basic
C04641,At-Risk,632,5,419.44,2,0.0,4.0,0.2,80.0,1,837,Basic
C01697,At-Risk,244,1,67.07,1,0.0,1.0,0.0,95.0,1,262,Basic
C01465,At-Risk,587,3,150.67000000000002,1,0.0,2.0,0.0,80.0,0,724,Premium
C03371,At-Risk,491,4,312.03,0,0.0,3.0,0.25,100.0,0,760,Basic
C03369,At-Risk,368,2,131.81,0,0.0,2.0,0.5,100.0,0,375,Basic
C04630,At-Risk,590,6,656.13,2,0.0,5.0,0.3333333333333333,90.0,0,655,Trial
C04632,At-Risk,457,2,185.51,2,0.0,2.0,0.0,80.0,1,603,Basic
C04633,At-Risk,0,2,175.45999999999998,0,0.0,2.0,0.5,100.0,1,125,Basic
C00702,At-Risk,619,4,547.46,0,0.0,3.0,0.25,100.0,0,652,Basic
C01689,At-Risk,618,4,355.8,1,0.0,3.0,0.5,80.0,0,779,Basic
C01691,At-Risk,51,2,112.28,1,0.0,2.0,0.0,95.0,0,386,Premium
C02709,At-Risk,324,1,70.52,2,0.0,1.0,0.0,90.0,1,347,Premium
C04003,At-Risk,279,2,140.05,2,0.0,2.0,0.0,80.0,1,542,Trial
C02711,At-Risk,0,2,351.21999999999997,1,0.0,2.0,0.0,95.0,0,222,Basic
C02712,At-Risk,325,1,46.3,1,0.0,1.0,0.0,80.0,1,440,Trial
C02713,At-Risk,158,2,127.75999999999999,0,0.0,2.0,0.5,100.0,0,351,Premium
C03754,At-Risk,265,2,113.69,1,0.0,2.0,0.0,95.0,1,473,Trial
C02063,At-Risk,433,1,127.24,1,0.0,1.0,0.0,80.0,1,510,Basic
C02801,At-Risk,135,1,56.52,0,0.0,1.0,0.0,100.0,0,151,Premium
C01609,At-Risk,680,3,312.06,0,0.0,2.0,0.0,100.0,0,782,Basic
C00928,At-Risk,625,9,756.28,1,0.0,4.0,0.1111111111111111,80.0,0,859,Basic
C03553,At-Risk,317,2,206.5,2,0.0,2.0,0.0,80.0,1,417,Basic
C01159,At-Risk,610,2,129.16,1,0.0,2.0,0.5,95.0,1,662,Trial
C01532,At-Risk,623,1,143.66,0,0.0,1.0,0.0,100.0,0,640,Premium
C04249,At-Risk,350,2,132.02,0,0.0,1.0,0.0,100.0,0,405,Basic
C02163,At-Risk,643,3,334.71,0,0.0,3.0,0.3333333333333333,100.0,0,741,Basic
C03558,At-Risk,468,4,424.71000000000004,1,0.0,3.0,0.25,95.0,0,656,Premium
C01302,At-Risk,607,5,411.06,0,0.0,4.0,0.0,100.0,0,742,Premium
C01165,At-Risk,421,1,116.31,2,0.0,1.0,0.0,90.0,1,472,Trial
C02410,At-Risk,635,1,81.15,2,0.0,1.0,0.0,80.0,0,702,Premium
C03560,At-Risk,263,2,184.54000000000002,1,0.0,2.0,0.0,95.0,0,474,Basic
C02406,At-Risk,589,1,128.44,0,0.0,1.0,0.0,100.0,0,628,Premium
C04338,At-Risk,607,2,164.7,1,0.0,2.0,0.0,80.0,1,858,Premium
C01174,At-Risk,59,2,97.58,0,0.0,2.0,0.5,100.0,1,356,Trial
C01489,At-Risk,348,2,288.31,1,0.0,2.0,0.0,95.0,0,368,Basic
C04246,At-Risk,572,1,94.95,2,0.0,1.0,0.0,90.0,1,616,Trial
C02167,At-Risk,334,2,373.82,1,0.0,2.0,0.0,80.0,1,406,Trial
C01178,At-Risk,109,2,112.49,2,0.0,2.0,0.5,90.0,1,145,Trial
C04101,At-Risk,415,1,103.92,1,0.0,1.0,0.0,80.0,1,519,Basic
C04329,At-Risk,269,1,106.42,0,0.0,1.0,0.0,100.0,1,374,Trial
C03615,At-Risk,591,2,180.42000000000002,0,0.0,2.0,0.0,100.0,0,639,Basic
C01182,At-Risk,478,1,206.12,0,0.0,1.0,0.0,100.0,1,731,Basic
C02398,At-Risk,252,1,140.66,1,0.0,1.0,0.0,95.0,1,349,Basic
C01185,At-Risk,321,1,153.45,1,0.0,1.0,0.0,80.0,1,518,Basic
C04323,At-Risk,554,5,510.45,0,0.0,3.0,0.2,100.0,0,706,Basic
C04322,At-Risk,486,3,202.25,0,0.0,2.0,0.3333333333333333,100.0,0,567,Basic
C02397,At-Risk,583,4,358.09000000000003,0,0.0,3.0,0.0,100.0,0,664,Basic
C01522,At-Risk,666,1,55.32,1,0.0,1.0,0.0,95.0,1,669,Premium
C02321,At-Risk,147,2,431.88,0,0.0,2.0,0.0,100.0,0,187,Basic
C01194,At-Risk,556,1,65.97,1,0.0,1.0,0.0,95.0,1,580,Basic
